"$r [deg]","Time [us]","InducedVoltage(int) [mV]"
1.05,425,-57.970601417195
1.05,437.5,-61.5687630911818
1.05,450,-63.6509281730984
1.05,462.5,-64.1658162130379
1.05,475,-63.1007402514282
1.05,487.5,-60.4819184036708
1.05,500,-56.3735465503056
1.2,0,-148.279
1.2,12.5,-118.479015098629
1.2,25,-88.6793315595643
1.2,37.5,-67.1585286948825
1.2,50,-50.4064521866705
1.2,62.5,-36.3433621099237
1.2,75,-23.7837206461628
1.2,87.5,-12.0982026946919
1.2,100,-1.00105338626022
1.2,112.5,9.58399515900566
1.2,125,19.6088077274399
1.2,137.5,28.9554431530885
1.2,150,37.4717691252882
1.2,162.5,44.9951893173184
1.2,175,51.3688236023199
1.2,187.5,56.4527752154805
1.2,200,60.1320686855101
1.2,212.5,62.3222018575762
1.2,225,62.9728709645367
1.2,237.5,62.0702009793492
1.2,250,59.6376841735536
1.2,262.5,55.7359592157447
1.2,275,50.4615327006327
1.2,287.5,43.9445301210912
1.2,300,36.3455677386428
1.2,312.5,27.8518421956015
1.2,325,18.672547319814
1.2,337.5,9.03373819568786
1.2,350,-0.827226370767479
1.2,362.5,-10.6675234376149
1.2,375,-20.2448425732792
1.2,387.5,-29.3233506436796
1.2,400,-37.6794984762401
1.2,412.5,-45.1075246807545
1.2,425,-51.4245219941371
1.2,437.5,-56.4749416248283
1.2,450,-60.1344224873105
1.2,462.5,-62.3128542078616
1.2,475,-62.9565955564186
1.2,487.5,-62.0497949893773
1.2,500,-59.6147816524334
1.35,0,-112.813
1.35,12.5,-93.2287206101608
1.35,25,-73.6441574411453
1.35,37.5,-59.0103690049844
1.35,50,-47.074142770925
1.35,62.5,-36.5189007805241
1.35,75,-26.6145502716638
1.35,87.5,-16.9977438861125
1.35,100,-7.53365123193674
1.35,112.5,1.77161142519476
1.35,125,10.8271356750476
1.35,137.5,19.4938933239296
1.35,150,27.6092921481512
1.35,162.5,35.0041235238962
1.35,175,41.5146455190613
1.35,187.5,46.9914459419013
1.35,200,51.3060666755785
1.35,212.5,54.3559573391602
1.35,225,56.0680874742833
1.35,237.5,56.4014032575298
1.35,250,55.3482354246635
1.35,262.5,52.9347268681738
1.35,275,49.2203318110799
1.35,287.5,44.2964365570934
1.35,300,38.2841592998189
1.35,312.5,31.3313959346028
1.35,325,23.6091957196924
1.35,337.5,15.3075568092736
1.35,350,6.63075393802431
1.35,362.5,-2.20769075503153
1.35,375,-10.9902643372203
1.35,387.5,-19.5008191220147
1.35,400,-27.5298959292419
1.35,412.5,-34.8798817203804
1.35,425,-41.3698773613348
1.35,437.5,-46.8401520038564
1.35,450,-51.1560771084036
1.35,462.5,-54.2114422045576
1.35,475,-55.9310707431293
1.35,487.5,-56.2726719534715
1.35,500,-55.2278821321591
1.5,0,-89.649
1.5,12.5,-78.4650714677847
1.5,25,-67.2811173984378
1.5,37.5,-58.03063831281
1.5,50,-49.588924591113
1.5,62.5,-41.3122484776474
1.5,75,-32.8712026908973
1.5,87.5,-24.1414955831235
1.5,100,-15.1322473615913
1.5,112.5,-5.93841679250513
1.5,125,3.29136122019401
1.5,137.5,12.377128102625
1.5,150,21.1236988274286
1.5,162.5,29.3327178575146
1.5,175,36.8120320703084
1.5,187.5,43.3831903120895
1.5,200,48.8875376548185
1.5,212.5,53.1911624976492
1.5,225,56.1888258153768
1.5,237.5,57.8069356829925
1.5,250,58.0055885006379
1.5,262.5,56.7796875337256
1.5,275,54.1591478067201
1.5,287.5,50.2082047590519
1.5,300,45.0238571032233
1.5,312.5,38.7334914540095
1.5,325,31.4917507758849
1.5,337.5,23.4767287805874
1.5,350,14.8855836725032
1.5,362.5,5.92968237806599
1.5,375,-3.17060655462665
1.5,387.5,-12.1913410748186
1.5,400,-20.9105220703722
1.5,412.5,-29.1135616263378
1.5,425,-36.598568922401
1.5,437.5,-43.1813227722182
1.5,450,-48.6998090412394
1.5,462.5,-53.0182119094728
1.5,475,-56.0302580439623
1.5,487.5,-57.6618353847813
1.5,500,-57.872817984471
1.65,0,-70.7387
1.65,12.5,-69.9043003132222
1.65,25,-69.0698536023347
1.65,37.5,-65.9143301270741
1.65,50,-60.9142558648566
1.65,62.5,-54.3637713717694
1.65,75,-46.4883197581284
1.65,87.5,-37.4987465060536
1.65,100,-27.6145871710455
1.65,112.5,-17.0715838811768
1.65,125,-6.12126579038423
1.65,137.5,4.97336298980402
1.65,150,15.9439326096975
1.65,162.5,26.5235259778382
1.65,175,36.45361899005
1.65,187.5,45.490803118116
1.65,200,53.4130650263855
1.65,212.5,60.0254668746037
1.65,225,65.1650939430055
1.65,237.5,68.705166884532
1.65,250,70.5582262617233
1.65,262.5,70.6783272150847
1.65,275,69.0621937667654
1.65,287.5,65.7493148472934
1.65,300,60.8209772646817
1.65,312.5,54.3982674527453
1.65,325,46.6390911391718
1.65,337.5,37.7342832365934
1.65,350,27.9029102312627
1.65,362.5,17.3868695251719
1.65,375,6.44493643897029
1.65,387.5,-4.65361316560265
1.65,400,-15.6356323737141
1.65,412.5,-26.2308326324669
1.65,425,-36.1784390355466
1.65,437.5,-45.2336128927467
1.65,450,-53.1734818114108
1.65,462.5,-59.8026291449011
1.65,475,-64.9579032430989
1.65,487.5,-68.5124419330058
1.65,500,-70.3787887007008
1.8,0,23.0316
1.8,12.5,-7.07970818251671
1.8,25,-37.1909802421394
1.8,37.5,-53.797241473416
1.8,50,-61.7674771884574
1.8,62.5,-63.9665864447733
1.8,75,-62.1163529045282
1.8,87.5,-57.2930749418175
1.8,100,-50.2141122898635
1.8,112.5,-41.4017096583913
1.8,125,-31.2753640561921
1.8,137.5,-20.202512504456
1.8,150,-8.52487283261977
1.8,162.5,3.42944305388168
1.8,175,15.3420968013244
1.8,187.5,26.9054479445415
1.8,200,37.8261127987764
1.8,212.5,47.8298537558526
1.8,225,56.6669732113762
1.8,237.5,64.1176690935889
1.8,250,69.9969834892782
1.8,262.5,74.1590853432091
1.8,275,76.5006998593608
1.8,287.5,76.9635554321977
1.8,300,75.5357615686465
1.8,312.5,72.2520649722268
1.8,325,67.1929725538524
1.8,337.5,60.4827537962762
1.8,350,52.2863717478178
1.8,362.5,42.8054139456414
1.8,375,32.2731237630447
1.8,387.5,20.9486533782726
1.8,400,9.11067967918578
1.8,412.5,-2.94946007546625
1.8,425,-14.9349439618566
1.8,437.5,-26.55077596614
1.8,450,-37.5110508705714
1.8,462.5,-47.5459957327517
1.8,475,-56.4086134727132
1.8,487.5,-63.8807657728705
1.8,500,-69.7785453602887
1.95,0,10.2459
1.95,12.5,-13.4732013790464
1.95,25,-37.1922849159317
1.95,37.5,-49.9834757601265
1.95,50,-55.7605470143241
1.95,62.5,-56.8178329236229
1.95,75,-54.5339356696459
1.95,87.5,-49.7754726064956
1.95,100,-43.1277183302051
1.95,112.5,-35.0252596748817
1.95,125,-25.8248159443968
1.95,137.5,-15.8445461058757
1.95,150,-5.38391467499144
1.95,162.5,5.26772701504061
1.95,175,15.8290626779316
1.95,187.5,26.0284307493923
1.95,200,35.607443924154
1.95,212.5,44.3255757573646
1.95,225,51.9650481887302
1.95,237.5,58.3355923768186
1.95,250,63.2787780297765
1.95,262.5,66.6717032893735
1.95,275,68.4298942392516
1.95,287.5,68.5093067740027
1.95,300,66.9073616960606
1.95,312.5,63.6629765280401
1.95,325,58.8555855668052
1.95,337.5,52.6031693887722
1.95,350,45.059338342752
1.95,362.5,36.4095422793882
1.95,375,26.8664979942206
1.95,387.5,16.6649460383718
1.95,400,6.05586683772064
1.95,412.5,-4.69970312086028
1.95,425,-15.3371010788613
1.95,437.5,-25.5945578272168
1.95,450,-35.2196449163816
1.95,462.5,-43.9754924285122
1.95,475,-51.6466227266271
1.95,487.5,-58.0442575307466
1.95,500,-63.01096722069
2.1,0,67.6612
2.1,12.5,24.136491591247
2.1,25,-19.388238589575
2.1,37.5,-44.616284146395
2.1,50,-58.3679181683699
2.1,62.5,-64.6334235693959
2.1,75,-65.7774815991969
2.1,87.5,-63.2382957873588
2.1,100,-57.9325065678251
2.1,112.5,-50.4886671900877
2.1,125,-41.3806730107555
2.1,137.5,-31.0027009428318
2.1,150,-19.7098857733749
2.1,162.5,-7.83889049331064
2.1,175,4.28332075076621
2.1,187.5,16.3375987277205
2.1,200,28.0146778480697
2.1,212.5,39.0194152741755
2.1,225,49.0760864830768
2.1,237.5,57.9340192831494
2.1,250,65.3730903215428
2.1,262.5,71.208744828774
2.1,275,75.2963046382079
2.1,287.5,77.5343880266156
2.1,300,77.8673227771167
2.1,312.5,76.2864614205183
2.1,325,72.8303624860028
2.1,337.5,67.5838197571798
2.1,350,60.6757598718942
2.1,362.5,52.2760577753359
2.1,375,42.5913473155706
2.1,387.5,31.8599273886353
2.1,400,20.3458909196146
2.1,412.5,8.33261822285651
2.1,425,-3.88420258564572
2.1,437.5,-16.0038590562503
2.1,450,-27.7280204576809
2.1,462.5,-38.768084669974
2.1,475,-48.8522867975799
2.1,487.5,-57.7323908645364
2.1,500,-65.1898036363283
2.25,0,117.308
2.25,12.5,63.3350242346687
